"","engword","meaning","langgroup","setword"
"27773","small","small hill, knoll","POC","*putul putul"
"27774","small","small hill, knoll","PMP","*buntul buntul"
"27775","small","small hill, knoll","POC","*putul1"
"27776","small","small hill, knoll","PMP","*buntul"
"27777","small","small hill, knoll","POC","*putur"
"27778","small","small hill, knoll","PMP","*buntud"
"27779","small","small in amount","PWMP ","*kiti<U+014B>"
"27780","small","small in amount","PMP","*ituk"
"27781","small","small in quantity, few; trifling amount","PMP ","*emit"
"27782","small","small in size or amount","PAN","*kedi"
"27783","small","small in size or amount","PWMP ","*kedit"
"27784","small","small in size or amount","PWMP ","*kedik"
"27785","small","small intestine","PMP","*t<in>aqi"
"27786","small","small intestine","PAN","*C<in>aqi"
"27787","small","small island, islet","POC","*a-nusa"
"27788","small","small knife","PAN-F","*RabiS"
"27789","small","small lizard (gecko?)","PPH","*tikiq"
"27790","small","small marine fish","PPh ","*baranbán"
"27791","small","small marine fish: sardine or anchovy","PWMP ","*bilis"
"27792","small","small mushroom sp.","PWMP ","*qibaw2"
"27793","small","small parrot or parakeet kept as a pet","PPH","*kulasísi"
"27794","small","small path or trail","PAN","*zalan-zalan"
"27795","small","small pond(?)","PAN-F","*waCa-waCaN"
"27796","small","small protruding part",NA,"*-til"
"27797","small","small reef fish, perhaps damselfish","POC","*tokuku"
"27798","small","small river fish","PWMP ","*palaw"
"27799","small","small shallow body of water","PWMP ","*baqelu<U+014B>"
"27800","small","small shrimp","PPh ","*hípun2"
"27801","small","small shrimp sp.","PPh ","*balaw1"
"27802","small","small snail or periwinkle","PMP","*sisi1"
"27803","small","small sour plant with clover","PWMP ","*qalesem qalesem"
"27804","small","small species of Malay apple","POC","*sakau"
"27805","small","small stingless bee","PPH","*lukut2"
"27806","small","small stones, gravel","PMP ","*anak i batu"
"27807","small","small tree, probably Morinda citrifolia Linn.","PPH","*apatut"
"27808","small","small trevally varieties","POC","*pilu-pilu"
"27809","small","small whale sp.","POC","*rato"
"27810","small","small, little; few","PAN","*qitik1"
"27811","small","small, stunted","POC","*kiki2"
"27812","small","small, trifling","PMP","*kikit"
"27813","small","small, wild herbaceous plants; scrub","PMP","*qutan"
"27814","small","small; few","POC","*bitiq2"
"27815","small","small; few","PMP","*bitiq1"
"27816","small","to chase away or shoo off small animals","PMP","*sika"
"27817","small","to cut off small pieces; to chip off bit by bit","PWMP","*ma-ñapsap"
"27818","small","to ring, of a small bell","PPH","*kulili<U+014B>2"
"27819","small","type of small worm","PAN","*qulej"
"27820","smaller","smaller thing of a pair (?)","PWMP ","*pa<U+014B>-anak"
"27821","smaller","smaller types of reef squid","POC","*nuse"
"27822","smaller","smaller types of reef squid","POC","*nusa2"
"27823","smaller","smaller types of reef squid","POC","*nuso"
"27824","smallpox","get smallpox; get swine disease","PPh ","*butih-en"
"27825","smallpox","smallpox; swine disease","PPh ","*butí"
"27826","smart","to smart, sting","POC","*so<U+014B>ot"
"27827","smarting","smarting, stinging pain","PMP","*hapejiq"
"27828","smarting","smarting, stinging pain","PAN","*Sapejiq"
"27829","smarting","smarting, stinging pain","PMP ","*hapejis"
"27830","smarting","smarting, stinging pain","PMP ","*hapejes"
"27831","smash","break, crush, smash","POC","*puaR"
"27832","smash","to crush, smash","PPH","*Rumek"
"27833","smash","to smash, demolish, destroy","PPH","*rakrak-en"
"27834","smash","to smash, demolish, destroy","PPH","*rakrák"
"27835","smear","smear, paint over","POC ","*bubuni"
"27836","smear","to paint; smear or rub on","POC","*wali1"
"27837","smeared","smeared, smudged, dirty with","PMP ","*lume<U+014B>"
"27838","smeared","smeared, smudged, dirty with","PMP ","*lumes"
"27839","smegma","semen, smegma","PMP","*biRas1"
"27840","smegma","semen, smegma","PMP","*biRaq2"
"27841","smegma","semen, smegma, grease","POC","*biRas2"
"27842","smegma","semen, smegma, grease","POC","*biRaq3"
"27843","smell","fishy smell","PMP","*la<U+014B>(e)si"
"27844","smell","fragrance, pleasant odor or smell","PMP","*be<U+014B>i"
"27845","smell","having a putrid smell","PWMP ","*ba<U+014B>(e)haw"
"27846","smell","pungent odor, strong disagreeable smell","PWMP","*sa<U+014B>(e)hid"
"27847","smell","rotten smell, stench","PAN","*ba<U+014B>(e)qeR1"
"27848","smell","rotten smell, stench (as of stagnant water)","PMP","*ba<U+014B>(e)qeR2"
"27849","smell","smell, odor","POC","*boi2"
"27850","smell","smell, odor","POC","*bou"
"27851","smell","smell, odor","PAN","*ha<U+014B>ut"
"27852","smell","smell, odor, scent","POC","*bona1"
"27853","smell","smell, sniff, kiss","PEMP","*ajek"
"27854","smell","smell, sniff, kiss","PMP","*hajek"
"27855","smell","smell; to smell (transitive)","PAN","*Sajek"
"27856","smell","stench, sour smell","PPh ","*panuqus"
"27857","smell","to smell","POC","*bou ro<U+014B>oR"
"27858","smell","to smell","PAN","*Sajek-en"
"27859","smell","to smell","PPh ","*ha<U+014B>ut-en"
"27860","smell","unpleasant smell","PMP","*ba<U+014B>(e)qes"
"27861","smell","various plants, etc. with a bad smell","PWMP ","*qetut qetut"
"27862","smell","vile smell","PMP ","*ma<U+014B>sit"
"27863","smelled","be smelled by someone","PWMP","*bahu-en"
"27864","smelly","smelly, stinking","PWMP","*ma-bahuq"
"27865","smelly","smelly, stinking","PMP","*ma-bahu"
"27866","smelt","melt, smelt",NA,"*(noise)"
"27867","Smilax","a thorny vine: Smilax spp.","PMP","*banaw"
"27868","Smilax","a thorny vine: Smilax spp.","PAN","*baNaw"
"27869","Smilax","a thorny vine: Smilax spp.","PCEMP","*banaR2"
"27870","Smilax","a thorny vine: Smilax spp.","PMP","*banaR1"
"27871","Smilax","a thorny vine: Smilax spp.","PAN","*baNaR"
"27872","Smilax","Smilax sp.",NA,"*(loan)"
"27873","smile","laugh, smile","PCEMP","*malip"
"27874","smile","smile, to smile","PWMP ","*isem1"
"27875","smiling","bare the teeth in smiling or laughing","PMP ","*ri<U+014B>is1"
"27876","smiling","laughing, smiling","POC","*mali-malip"
"27877","smoke","emit smoke or steam","POC","*kupuk"
"27878","smoke","gather in masses, as smoke","PMP ","*upun1"
"27879","smoke","give off smoke continuously, pour out smoke","PMP ","*qasu qasu"
"27880","smoke","giving off smoke or steam; to steam cook rice","PWMP","*kukus"
"27881","smoke","incense, ritual smoke","PWMP ","*asep"
"27882","smoke","rise (of smoke)",NA,"*(noise)"
"27883","smoke","rising of smoke or steam","PWMP","*kuskus1"
"27884","smoke","set fire to, smoke out","PMP","*sunuR"
"27885","smoke","smoke","POC","*kasu"
"27886","smoke","smoke","PWMP","*atuk"
"27887","smoke","smoke","PCMP","*masu"
"27888","smoke","smoke","PAN-F","*CebuN"
"27889","smoke","smoke","PAN","*qebel"
"27890","smoke","smoke","PWMP","*qasep"
"27891","smoke","smoke","PAN","*qaseb"
"27892","smoke","smoke",NA,"*(noise)"
"27893","smoke","smoke out bees","PWMP ","*puhaR"
"27894","smoke","smoke soot","PWMP","*qanuqus"
"27895","smoke","smoke, fumes, steam; to smoke (as a fire)","PMP ","*qasu3"
"27896","smoke","smoke, soot","PMP ","*asuk"
"27897","smoke","to burn or set a fire under to smoke out","PPH","*sunúg-en"
"27898","smoke","to smoke (?), to suck (?)","PWMP ","*qudud"
"27899","smoke","to smoke fish or meat for preservation","PWMP ","*man-tapa"
"27900","smoke","to smoke fish or meat for preservation","PMP","*tapa1"
"27901","smoke","to smoke fish or meat for preservation","PAN","*Capa"
"27902","smoke","to smoke, fumigate","PMP ","*pa(ka)-qasu"
"27903","smoked","be smoked by someone, of meat or fish","PPh ","*tapa-en"
"27904","smoked","place where fish or meat are smoked","PWMP ","*tapa-an"
"27905","smoked","smoked fish or meat","PMP","*t<in>apa"
"27906","smoked","smoked fish or meat","PAN","*C<in>apa"
"27907","smoking~pipe","smoking pipe",NA,"*(loan)"
"27908","smoky","smoky","PMP ","*ma-qasu"
"27909","smoldering","burning brand; charred or smoldering wood","PMP","*aluten"
"27910","smooth","shaved off, made smooth","PWMP","*paras1"
"27911","smooth","smooth",NA,"*(loan)"
"27912","smooth","smooth, fine (of texture)","PWMP ","*linis"
"27913","smooth","smooth, slippery","PWMP ","*licin"
"27914","smooth","smooth, slippery","PMP","*ma-dalit"
"27915","smooth","smooth, slippery","PMP ","*dalit2"
"27916","smooth","smooth, slippery","PAN","*ma-dalis"
"27917","smooth","soft, smooth","PPH","*lumúy"
"27918","smooth","to sandpaper, smooth by abrasion","PWMP ","*ma<U+014B>-qa(m)pelas"
"27919","smooth","to scrape smooth, to plane a surface","PAN-F","*RuSRuS"
"27920","smoothed","be sandpapered, smoothed by abrasion","PWMP ","*qa(m)pelas-en"
"27921","smother","smother, suffocate","PMP","*hemut"
"27922","smothering","smothering, suffocating","PAN","*Semut"
"27923","smoulder","to smoulder, of a fire","PWMP","*<U+014B>ut<U+014B>ut3"
"27924","smudge","smudge, dirty spot","PPH","*dulit2"
"27925","smudged","smeared, smudged, dirty with","PMP ","*lume<U+014B>"
"27926","smudged","smeared, smudged, dirty with","PMP ","*lumes"
"27927","snag","snag, be snagged, caught in something that prevents it from falling","PPH","*saq(e)<U+014B>it"
"27928","snagged","snag, be snagged, caught in something that prevents it from falling","PPH","*saq(e)<U+014B>it"
"27929","snail","edible snail","PMP","*susuq"
"27930","snail","edible snail","PWMP","*sisuq"
"27931","snail","edible snail sp.","PWMP","*kuhul"
"27932","snail","eye, face, focal point, center or most prominent part; hole, aperture; doorway, window; budding part of plant; ‘eye’ of coconut; knot in wood; sun; core of a boil; blade of a knife; to awaken; operculum of a snail; mesh of a net; eye of a needle; noose of a trap; hearth; direction of the wind; head of a river; spring, source; lid, cover","PMP","*mata"
"27933","snail","kind of marine snail","PPH","*dawdaw"
"27934","snail","small snail or periwinkle","PMP","*sisi1"
"27935","snail","snail","PMP ","*bekul2"
"27936","snail","snail",NA,"*-kul2"
"27937","snail","snail",NA,"*(loan)"
"27938","snail","species of edible snail","PPh ","*balilit"
"27939","snake","beak, bill; to peck, of birds, to bite, of a snake","PPH","*tukaq"
"27940","snake","kind of snake","PPH","*idau"
"27941","snake","kind of snake, possibly cobra","PWMP","*tedu<U+014B>2"
"27942","snake","large snake sp.","PMP ","*anipa"
"27943","snake","poison, venom of a snake","PMP","*upas1"
"27944","snake","scale of fish, lizard or snake; shell of turtle or tortoise","PMP","*siksik2"
"27945","snake","scales of fish or snake","PCEMP","*qunep"
"27946","snake","snake","POC","*nipe"
"27947","snake","snake","POC","*mwata"
"27948","snake","snake","POC","*qumata"
"27949","snake","snake","PMP","*hulaR"
"27950","snake","snake","PAN","*SulaR"
"27951","snake","snake","PMP","*nipay"
"27952","snake","snake venom; plant poison used on tips of arrows","PPH","*dítaq"
"27953","snake","to slough, shed the skin, as a snake","POC","*nunu2"
"27954","snake","venom of a poisonous snake or insect","PPH","*kamandag"
"27955","snake","venomous snake","PAN","*depu<U+014B>"
"27956","snakebite","tasteless, insipid; powerless; antidote, as against snakebite","PWMP","*tabaR"
"27957","snap","break off, snap off","POC","*pati"
"27958","snap","break, snap off at a joint","PWMP","*sepak1"
"27959","snap","snap at with the mouth","PWMP ","*pagut"
"27960","snap","snap off, snapping or clicking sound","PMP ","*li(n)tik"
"27961","snap","snap the fingers; flick with the finger, fillip","PAN","*betik1"
"27962","snap","snap the fingers; the sound produced by snapping the fingers","PWMP","*ketik"
"27963","snap","snap, as the fingers or a slingshot","PAN","*peCik"
"27964","snap","snap, break off (twigs, etc.)","PMP ","*lepik"
"27965","snap","snap, break, as a rope under tension","PMP ","*butus"
"27966","snap","snap, break, as a string","PWMP ","*getus"
"27967","snap","snap, crack","PMP ","*depuk"
"27968","snap","tear, rip open (as cloth or stitches), snap (as string)","PMP","*be(R)tas"
"27969","snap","to flick or snap","PWMP","*labetik"
"27970","snap","to snap under tension (rope, string)","PPH","*buR(e)tuq"
"27971","snap","to snap, break off","PPH","*putud"
"27972","snap","to snap, break off","PPH","*lipuk"
"27973","snap","to snap, break off","PWMP","*putut1"
"27974","snap","to snap, break off","PWMP","*putus2"
"27975","snap","to snap, break off, as a twig","POC","*kotos"
"27976","snap","to snap, break off, as a twig","PMP","*getes"
"27977","snapped","be cut or snapped","PWMP","*pated-en"
"27978","snapper","a fish, the snapper: Lutjanus spp.","PWMP ","*bamba<U+014B>en"
"27979","snapper","a fish: snapper sp.","PPH","*ma<U+014B>aRat"
"27980","snapper","marine fish, probably snapper sp.","PPH","*dapak"
"27981","snapping","snap off, snapping or clicking sound","PMP ","*li(n)tik"
"27982","snapping","snap the fingers; the sound produced by snapping the fingers","PWMP","*ketik"
"27983","snare","noose, snare; net","PPH","*síluq"
"27984","snare","scoop up with a net; catch with snare","PPH","*ma-ñilu<U+0294>"
"27985","snare","set a snare","POC","*taqon"
"27986","snare","set a snare","PMP","*taqen"
"27987","snare","snare birds with bird lime","PWMP","*mamiket"
"27988","snare","snare birds with bird lime","PWMP","*mamikat"
"27989","snare","snare trap","PMP","*taRin"
"27990","snare","snare trap; set a snare trap","PAN","*taqan1"
"27991","snare","snare, noose trap; spring up suddenly, jerk up (as a fishing line or noose trap)","POC","*pintik"
"27992","snare","snare, noose trap; spring up suddenly, jerk up (as a fishing line or noose trap)","PMP","*bitik1"
"27993","snarl","entangle, snarl, tie up, wind around, wrap","POC","*pisi1"
"27994","snarl","to growl, snarl","PMP","*e<U+014B>er"
"27995","snatch","snatch at, pull with a jerk","PWMP ","*ra<U+014B>gut"
"27996","snatch","snatch with the mouth, as a dog seizing something in its mouth and running away with it","PPH","*sak(e)mál"
"27997","snatch","snatch, grab","PAN","*dakuC"
"27998","snatch","snatch, seize, rob","POC","*paqaRok"
"27999","snatch","snatch, seize, rob","POC ","*paRo2"
"28000","snatch","snatch, take away by force","PWMP ","*ma<U+014B>-qaRaw"
"28001","snatch","snatch, take away by force, rob","PAN","*qaRaw"
"28002","snatch","to catch, snatch, as a ball in the air","POC","*sikop"
"28003","snatch","to seize, take by force, snatch from another’s hands; pillage","PPH","*samsám"
"28004","snatched","be snatched away, taken away by force","PPh ","*qaRaw-en"
"28005","snatched","be snatched, be seized suddenly","PPH","*sakmal-én"
"28006","sneer","sneer, laugh in derision","POC ","*inap"
"28007","sneeze","sneeze","PAN-F","*baqeSi<U+014B>"
"28008","sneeze","sneeze","POC","*asio"
"28009","sneeze","sneeze",NA,"*(noise)"
"28010","sneeze","to sneeze","POC","*tise"
"28011","sneeze","to sneeze","PPH","*bahén"
"28012","sneeze","to sneeze","PMP ","*beñan"
"28013","sneeze","to sneeze","PWMP","*bañen"
"28014","sneeze","to sneeze","PWMP","*baqeñan"
"28015","sneeze","to sneeze; a sneeze","PWMP ","*buresin"
"28016","snicker","snicker, giggle; high","PWMP ","*hikhik"
"28017","sniff","smell, sniff, kiss","PEMP","*ajek"
"28018","sniff","smell, sniff, kiss","PMP","*hajek"
"28019","sniff","sniff at close quarters, of animals","PPH","*su<U+014B>su<U+014B>3"
"28020","sniff","sniff, sniffle (as with a runny nose)","PMP","*hi<U+014B>us"
"28021","sniff","sniff, sniffle (as with a runny nose)","PAN","*Si<U+014B>us"
"28022","sniff","sniffle, sniff up mucus","PWMP","*si<U+014B>(e)hut"
"28023","sniff","snort, sniff; blow air through the nostrils","PWMP ","*e<U+014B>kus"
"28024","sniff","to sniff, kiss","PWMP ","*me<U+014B>-hajek"
"28025","sniff","to sniff, kiss","POC","*acok"
"28026","sniffle","sniff, sniffle (as with a runny nose)","PMP","*hi<U+014B>us"
"28027","sniffle","sniff, sniffle (as with a runny nose)","PAN","*Si<U+014B>us"
"28028","sniffle","sniffle","PWMP ","*ha<U+014B>us-en"
"28029","sniffle","sniffle, pant","PPh ","*e<U+014B>us"
"28030","sniffle","sniffle, sniff up mucus","PWMP","*si<U+014B>(e)hut"
"28031","sniffle","sniffle, snore","PPh ","*e<U+014B>es"
"28032","sniffle","sniffle, snuff up; snot","PWMP","*Si<U+014B>us"
"28033","snipe","kind of shore bird, possibly snipe","POC","*pwipipi"
"28034","snipe","long","PPh ","*balala<U+014B>2"
"28035","snore","breath loudly, snore","POC","*<U+014B>o<U+014B>ok"
"28036","snore","groan, moan, snore",NA,"*-Re<U+014B>"
"28037","snore","grunt; snore","POC","*<U+014B>odro"
"28038","snore","grunt; snore","POC","*<U+014B>odra"
"28039","snore","low guttural or rumbling sound; snore, roar","PWMP ","*e<U+014B>ker"
"28040","snore","sniffle, snore","PPh ","*e<U+014B>es"
"28041","snore","snore, groan, etc.","PMP","*haRu<U+014B>"
"28042","snore","snore, groan, etc.","PAN","*SaRu<U+014B>"
"28043","snore","to snore, growl, grunt","PAN","*<U+014B>us<U+014B>us"
"28044","snore","to snore, grunt, etc.","POC","*<U+014B>oRo"
"28045","snort","blow hard; snort, pant","PMP ","*qembus"
"28046","snort","snort, sniff; blow air through the nostrils","PWMP ","*e<U+014B>kus"
"28047","snot","nasal mucus, snot","PMP","*pi<U+014B>(e)qut"
"28048","snot","nasal mucus, snot","PMP","*pi<U+014B>us"
"28049","snot","nasal mucus, snot","PMP ","*idus"
"28050","snot","sniffle, snuff up; snot","PWMP","*Si<U+014B>us"
"28051","snout","nasal area; snout","PAN","*<U+014B>usuq"
"28052","snout","snout",NA,"*-<U+014B>us"
"28053","snout","snout, beak","PWMP","*su<U+014B>it1"
"28054","snout","snout, beak","PWMP ","*u<U+014B>us"
"28055","snout","snout, nose","PPH","*du<U+014B>us"
"28056","snout","snout, nose",NA,"*(noise)"
"28057","snout","upper lip, snout, muzzle","PPH","*su<U+014B>u2"
"28058","snouted","short snouted unicornfish: Naso spp.","POC","*taRa"
"28059","snow","snow","PAN-F","*SuReNa"
"28060","snuff","last burning bit; to snuff out a spark","PMP","*latu"
"28061","snuff","sniffle, snuff up; snot","PWMP","*Si<U+014B>us"
"28062","snugly","fit snugly, as bowstring in arrow notch","PMP ","*si<U+014B>(e)qit"
"28063","so","so, so that",NA,"*(noise)"
"28064","soak","soak","PPh ","*bábad"
"28065","soak","soak, dye","PAN","*edem2"
"28066","soak","soak, steep in water","PWMP ","*celep"
"28067","soak","to put under water, soak","PPH","*rebreb"
"28068","soak","to sink, soak into","PPH","*reneb"
"28069","soak","to soak","PWMP ","*huqem"
"28070","soak","to steep, soak","POC","*sau2"
"28071","soak","to suck, sip, soak up","PWMP ","*ma<U+014B>-qisep"
"28072","soaked","soaked, saturated, full of liquid","POC","*toRop"
"28073","soaked","soaked, saturated, full of liquid; crowded or filled to overflowing","PMP","*teReb"
"28074","soaking","soaking wet","PMP ","*lemer"
"28075","soaking","soaking wet",NA,"*(noise)"
"28076","soaking","soaking wet (?); somewhat wet (?)","PWMP","*ma-base-baseq"
"28077","soaking","sucking, soaking up, absorbing","PMP ","*qisep"
"28078","So-and-so","person whose name is avoided or cannot be remembered: So","PMP","*sanu"
"28079","So-and-so","person whose name is avoided or cannot be remembered: So","PWMP","*i-anu, si-anu"
"28080","soapberry","soapberry: Sapindus mukrossi, S. saponaria","PAN-F","*daqu2"
"28081","soar","to fly, soar through the air","PWMP","*laya<U+014B>1"
"28082","soar","to soar, glide, hover, as birds of prey","POC","*tapa3"
"28083","sob","choke, sob","PPH","*sigúk"
"28084","sob","choke, sob","PWMP","*sigek"
"28085","sob","gurgle, sob",NA,"*(loan)"
"28086","sob","hiccough, sob",NA,"*-dek1 (or *-deqek?)"
"28087","sob","sob, inhale suddenly","PWMP ","*si(n)dek"
"28088","sob","sob, mumbled complaint","PWMP ","*he(m)bek"
"28089","sob","sound of a sob, cackle, etc.",NA,"*-kuk2"
"28090","sob","sound of sob","PMP ","*gedek"
"28091","sob","sound of sob, croak, etc.","PMP ","*kuk"
"28092","sob","to sob, choke, have broken respiration","PMP","*sekuk"
"28093","sobbing","subdued laughter; sobbing","PMP ","*e(<U+014B>)kek"
"28094","social","social inferior",NA,"*(loan)"
"28095","social","social prefix, indicating action together with another","PPH","*maki-"
"28096","society","one quarter; designation for a division of society, probably a lineage","PMP","*suku"
"28097","soft","a breeze, soft wind","PWMP ","*bui1"
"28098","soft","become soft or weak (of things or people)","PMP","*males"
"28099","soft","cut something slender or soft; reap crops","PAN","*keRet"
"28100","soft","insert, stick into a soft surface",NA,"*-sek2"
"28101","soft","pull out something rooted in soft matter, as flesh","PWMP","*raq(e)but"
"28102","soft","pulpy, fleshy, as a fruit; soft flesh around the seeds of a fruit","PWMP","*lunek1"
"28103","soft","soft","PWMP","*lembut"
"28104","soft","soft","PAN","*lemek1"
"28105","soft","soft mud","PWMP ","*luyek"
"28106","soft","soft through exposure to moisture; sticky","PWMP ","*luyak"
"28107","soft","soft watery mud","PWMP","*lunaw"
"28108","soft","soft, pliable","PCEMP","*malua"
"28109","soft","soft, smooth","PPH","*lumúy"
"28110","soft","soft, tender","PWMP","*ma-lemek"
"28111","soft","soft, tender, gentle","PMP","*ma-lumu"
"28112","soft","soft, tender, gentle","PMP","*lumu2"
"28113","soft","soft, weak","PWMP","*lemuy"
"28114","soft","soft, weak","PWMP ","*lemi"
"28115","soft","soft, weak, flexible","PWMP","*lemeq"
"28116","soft","soft, weak, slack","PWMP","*lemaq"
"28117","soft","to become soft or overripe, as fruits that are kept too long","PPH","*lúnus"
"28118","soften","particle used to soften questions or turn statements into rhetorical questions","PPH","*taq2"
"28119","soft-shelled","soft","PWMP","*labi-labi"
"28120","soft-shelled","soft","PAN","*qaCipa"
"28121","soft-spoken","gradually sloping (of terrain); soft","PWMP","*la(n)day"
"28122","soil","dig in the soil","PAN","*kurkur"
"28123","soil","dig up the soil",NA,"*(noise)"
"28124","soil","dig up the soil",NA,"*(noise)"
"28125","soil","earth, soil","POC","*butaq3"
"28126","soil","earth, soil, land","PMP","*taneq"
"28127","soil","earth, soil, land; down; westward","POC","*tanoq"
"28128","soil","earth, soil, mud","PMP","*buRtaq"
"28129","soil","fertile, of soil","PMP ","*lemek2"
"28130","soil","sandy soil (?)","POC","*bia"
"28131","soil","scratch up the soil","PMP","*kahkah"
"28132","soil","scratch up the soil, as a chicken looking for food","PAN","*kaSkaS"
"28133","soil","soil, probably clay","PAN-F","*daRiq"
"28134","soil","soil, probably clay","PAN","*daReq"
"28135","soil","till the soil",NA,"*(noise)"
"28136","soil","to hoe, chop up soil","PWMP ","*bacuk"
"28137","soil","turn the soil over, as in removing stones prior to planting","PWMP","*su<U+014B>kal"
"28138","soil","type of soil, clay","PAN","*Nitaq"
"28139","soil","wet, of soil","PMP","*leme<U+014B>1"
"28140","Solanum","a plant, Solanum spp.","PPH","*sili-sili"
"28141","Solanum","a plant: Solanum nigrum","PMP","*hameti"
"28142","Solanum","a plant: Solanum nigrum","PAN","*SameCi"
"28143","Solanum","hairy eggplant: Solanum ferox Linn.","PPH","*basula"
"28144","Solanum nigrum","plant: black nightshade, Solanum nigrum",NA,"*(near)"
"28145","sole","halibut, sole, flounder","PMP","*alali"
"28146","sole","liver; seat of the emotions, inner self: core, mind, will, desire, feeling, intelligence, understanding; to want or wish; hollow of the palm of the hand or sole of the foot; pith, as of bamboo","PMP","*qatay"
"28147","sole","palm of hand, sole of foot","PMP ","*palaj1"
"28148","sole","palm of the hand, sole of the foot","PPH","*dalukap"
"28149","sole","palm of the hand, sole of the foot","PWMP","*tapak1"
"28150","sole","sole of the foot","PMP","*dapan"
"28151","sole","sole of the foot; footprint","PAN","*dapaN"
"28152","sole of the foot","sole of the foot",NA,"*(near)"
"28153","solid","container for solid objects; package","POC ","*busa3"
"28154","solid","firm, solid",NA,"*(loan)"
"28155","solid","fly off, of solid bits or water droplets","PAN","*lecik"
"28156","solid","hard, solid","POC","*ma-toRas"
"28157","solid","hard, solid","PMP","*ma-teRas"
"28158","solid","press together, pack solid","PAN","*pedped1"
"28159","solid","solid residue left after squeezing to remove coconut oil, etc.","PPH","*lunek2"
"28160","solid","thick, of solid objects","PWMP ","*ma-kapal"
"28161","solid","thick, of solid objects","PAN","*kaS(e)pal"
"28162","solidarity","particle expressing solidarity, concession, qualification, or emphasis","PPH","*man"
"28163","some","companion in some activity","PPh","*ka-sabáy"
"28164","some","fire saw; tie a tool around the hand or some other fixture","PPH","*kulili"
"28165","some","go out for some fresh air","PMP ","*pa(ka)-ha<U+014B>in-ha<U+014B>in"
"28166","some","interrogative of quantity: how much?, how many?; adjective of indefinite quantity: some, several, a few","PAN","*pijax"
"28167","some","prefix marking possession of some object","PAN","*mi-"
"28168","some","puffy area around the throat of some birds","PWMP ","*tambuluk"
"28169","some","pull at some part of the body","PAN","*bitbit1"
"28170","some","refresh oneself, go out for some fresh air","POC ","*paka-a<U+014B>in-a<U+014B>in"
"28171","some","some, several","PAN","*pija pija"
"28172","some","some, some more","POC","*palu6"
"28173","some","some, some more","PMP","*balu3"
"28174","some","some, somewhat","POC","*pala2"
"28175","some","stative prefix marking high degree of some quality; extremely; superlative marker","PPH","*ka-3"
"28176","someone","(lit. 'fetch the liver') capture someone's fancy","PMP ","*qalap qatay"
"28177","someone","a charm used to control someone magically","PPH","*Ramut2"
"28178","someone","accuse someone, find fault with someone (?)","PWMP","*ma-ñalaq"
"28179","someone","argue with, oppose someone","PWMP","*bantaq"
"28180","someone","assistance given to someone in need","PPH","*abúluy"
"28181","someone","avoid someone out of fear","PWMP ","*ketiR"
"28182","someone","be bought from or for someone; what one has bought","PWMP ","*beli-an"
"28183","someone","be carried away by someone or something","PPH","*ta<U+014B>ay2"
"28184","someone","be eaten by someone; cooked rice","PAN","*kaen-en"
"28185","someone","be in debt to someone","PWMP ","*quta<U+014B>-en"
"28186","someone","be roasted by someone","PPh ","*tunuh-en"
"28187","someone","be seen by someone (?)","PAN","*kita-en"
"28188","someone","be smelled by someone","PWMP","*bahu-en"
"28189","someone","be smoked by someone, of meat or fish","PPh ","*tapa-en"
"28190","someone","be woven by someone","PWMP","*lalah-en"
"28191","someone","beat up, bruise someone","PPh ","*bunal"
"28192","someone","blame someone for something","PPH","*básul"
"28193","someone","blame someone for something","PPh","*bes(e)qel"
"28194","someone","carry on a pole between two persons; help someone carry a load","PPh ","*bulig-an"
"28195","someone","carry on a pole between two persons; help someone carry a load","PWMP ","*bulig"
"28196","someone","contradict someone",NA,"*(noise)"
"28197","someone","do something to someone","PWMP ","*ma<U+014B>-apa-i"
"28198","someone","do something with someone else, perform an action together","PAN","*mi-da-duSa"
"28199","someone","force someone to do something","PPH","*pilit-en"
"28200","someone","give a love potion to someone","PPH","*lumay-en"
"28201","someone","give someone something to drink","PMP ","*pa-inum"
"28202","someone","go with, accompany someone","PWMP","*man-de<U+014B>an"
"28203","someone","help someone carry a load","PPh ","*maR-búlig"
"28204","someone","hurt someone; make someone sick","PMP","*pa-sakit"
"28205","someone","impose one’s will, force or compel someone to do something","PWMP","*teRel"
"28206","someone","inquire about, mention someone","PPH","*umat"
"28207","someone","knock someone or something with the elbow","PMP","*pa-siku"
"28208","someone","let someone choose, let someone make a choice","PWMP","*pa-piliq"
"28209","someone","lose someone through death","PMP ","*m-atay-an"
"28210","someone","lose someone through death (?)","PAN","*ka-aCay-an"
"28211","someone","mercy killing; put someone out of their misery","PWMP","*hunus"
"28212","someone","namesake, have the same name as someone else","PWMP","*sa<U+014B>ay"
"28213","someone","oppose, go against someone","PMP","*laban-an"
"28214","someone","oppose, go against someone","PMP","*laban2"
"28215","someone","pay a visit, drop by to see someone","PPH","*dálaw"
"28216","someone","push something to start it moving; accompany someone to help them start a journey","PPH","*tulúd"
"28217","someone","put someone down to sleep","PWMP","*pa-tuduR"
"28218","someone","return something to someone","PMP ","*paka-uliq"
"28219","someone","send on a mission, command someone to do something","PWMP ","*utus2"
"28220","someone","share the possession of something with someone else; co","PWMP","*duha-i"
"28221","someone","shout, yell at someone","PWMP ","*si<U+014B>git"
"28222","someone","sleep together, sleep with someone","PWMP","*ka-tuduR"
"28223","someone","someone else's child","PMP ","*anak i tau"
