"","language","language_code","long","lat","spoken","source_author","notes","data_entry","total_data","retentions","loans","classification","world_atlas_link","ethno_link"
"1266","Ayta Mag-antsi","sgb",NA,NA,NA,"Storck, Kurt and Margaret Storck, compilers","Storck, Kurt and Margaret Storck. 2012. Ayta Mag-antsi Dictionary - Pallêkan Habi. Manila: SIL Philippines.
Available online at http://www-01.sil.org/asia/philippines/online/sgb/dict/index.html","Typed By: Andrew Hsiu  Checked By:","Total Data: 255","Number of Retentions: Proto Malayo-Polynesian:86","Number of Loans: 3","Austronesian:Malayo-Polynesian:Philippine:Central Luzon:Sambalic",NA,"http://www.ethnologue.com/show_language.asp?code=sgb"
"1267","Manide","abd",NA,NA,NA,"Jason Lobel (2010)","Lobel, Jason William. 2010. Manide: An Undescribed Philippine Language. Oceanic Linguistics 49. 478-510.","Typed By: Andrew Hsiu  Checked By:","Total Data: 103","Number of Retentions: Proto Malayo-Polynesian:21","Number of Loans: 0","Austronesian:Malayo-Polynesian:Philippine:Greater Central Philippine:Umiray Dumaget",NA,"http://www.ethnologue.com/show_language.asp?code=abd"
"1268","Utudnon","bvy",NA,NA,NA,"Carl Rubino (2005)","Carl Rubino. 2005. ""Utudnon, an Undescribed Language of Leyte"". In Hsiu-chuan Liao and Carl R. Galvez Rubino (eds.), Current Issues in Philippine Linguistics and Anthropology: Parangal kay Lawrence A. Reid, 306-336. Manila, Philippines: Linguistic Society of the Philippines and SIL Philippines.","Typed By: Andrew Hsiu  Checked By:","Total Data: 49","Number of Retentions: Proto Malayo-Polynesian:23","Number of Loans: 0","Austronesian:Malayo-Polynesian:Philippine:Greater Central Philippine:Central Philippine:Bisayan:Central:Warayan",NA,"http://www.ethnologue.com/show_language.asp?code=bvy"
"1269","Inati (Nagpana)","atk",NA,NA,NA,"Pennoyer (1987)","Douglas F. Pennoyer. 1987. Inati: the Hidden Negrito Language of Panay, Philippines. Philippine Journal of Linguistics 18/19. 1-36.
The main dialect in this study is that of Nagpana, Barotac Viejo, Iloilo City.","Typed By: Andrew Hsiu  Checked By:","Total Data: 168","Number of Retentions: Proto Malayo-Polynesian:59","Number of Loans: 0","Austronesian:Malayo-Polynesian:Philippine:Greater Central Philippine:Central Philippine:Bisayan:Central:Periphera",NA,"http://www.ethnologue.com/show_language.asp?code=atk"
"1270","Umiray Dumaget","due",NA,NA,NA,"Ronald Himes (2002)","Himes, Ronald S. 2002. The relationship of Umiray Dumaget to other Philippine languages. Oceanic Linguistics 41(2):275-294.","Typed By: Andrew Hsiu  Checked By:","Total Data: 108","Number of Retentions: Proto Malayo-Polynesian:29","Number of Loans: 1","Austronesian:Malayo-Polynesian:Philippine:Greater Central Philippine:Umiray Dumaget",NA,"http://www.ethnologue.com/show_language.asp?code=due"
"1271","Ayta Abellen","abp",NA,NA,NA,"Stone (2008)","Stone, Roger. 2008. The Sambalic languages of Central Luzon. Studies in Philippine languages and cultures 19. 158-183.","Typed By: Andrew Hsiu  Checked By:","Total Data: 141","Number of Retentions: Proto Malayo-Polynesian:67","Number of Loans: 2","Austronesian:Malayo-Polynesian:Philippine:Central Luzon:Sambalic",NA,"http://www.ethnologue.com/show_language.asp?code=abp"
"1272","Ayta Ambala","abc",NA,NA,NA,"Stone (2008)","Stone, Roger. 2008. The Sambalic languages of Central Luzon. Studies in Philippine languages and cultures 19. 158-183.","Typed By: Andrew Hsiu  Checked By:","Total Data: 127","Number of Retentions: Proto Malayo-Polynesian:66","Number of Loans: 4","Austronesian:Malayo-Polynesian:Philippine:Central Luzon:Sambalic",NA,"http://www.ethnologue.com/show_language.asp?code=abc"
"1273","Ayta Mag-anchi","sgb",NA,NA,NA,"Stone (2008)","Stone, Roger. 2008. The Sambalic languages of Central Luzon. Studies in Philippine languages and cultures 19. 158-183.","Typed By: Andrew Hsiu  Checked By:","Total Data: 141","Number of Retentions: Proto Malayo-Polynesian:68","Number of Loans: 2","Austronesian:Malayo-Polynesian:Philippine:Central Luzon:Sambalic",NA,"http://www.ethnologue.com/show_language.asp?code=sgb"
"1274","Bolinao","smk",NA,NA,NA,"Stone (2008)","Stone, Roger. 2008. The Sambalic languages of Central Luzon. Studies in Philippine languages and cultures 19. 158-183.","Typed By: Andrew Hsiu  Checked By:","Total Data: 141","Number of Retentions: Proto Malayo-Polynesian:70","Number of Loans: 3","Austronesian:Malayo-Polynesian:Philippine:Central Luzon:Sambalic",NA,"http://www.ethnologue.com/show_language.asp?code=smk"
"1275","Botolan Sambal","sbl",NA,NA,NA,"Stone (2008)","Stone, Roger. 2008. The Sambalic languages of Central Luzon. Studies in Philippine languages and cultures 19. 158-183.","Typed By: Andrew Hsiu  Checked By:","Total Data: 141","Number of Retentions: Proto Malayo-Polynesian:71","Number of Loans: 2","Austronesian:Malayo-Polynesian:Philippine:Central Luzon:Sambalic",NA,"http://www.ethnologue.com/show_language.asp?code=sbl"
"1276","Ayta Mag-indi","blx",NA,NA,NA,"Stone (2008)","Stone, Roger. 2008. The Sambalic languages of Central Luzon. Studies in Philippine languages and cultures 19. 158-183.","Typed By: Andrew Hsiu  Checked By:","Total Data: 141","Number of Retentions: Proto Malayo-Polynesian:64","Number of Loans: 2","Austronesian:Malayo-Polynesian:Philippine:Central Luzon:Sambalic",NA,"http://www.ethnologue.com/show_language.asp?code=blx"
"1277","Sambal",NA,NA,NA,NA,"Stone (2008)","Stone, Roger. 2008. The Sambalic languages of Central Luzon. Studies in Philippine languages and cultures 19. 158-183.","AKA ""Tina Sambal” (pejorative)","Typed By: Andrew Hsiu  Checked By:",NA,NA,"Total Data: 141
            Number of Retentions: Proto Malayo-Polynesian:73
             
            Number of Loans: 1",NA,NA
"1278","Iraya","iry",NA,NA,NA,"Barbian (1977)","Barbian, Karl-Josef. 1977. The Mangyan languages of Mindoro. Cebu City: University of San Carlos.","Typed By: Andrew Hsiu  Checked By:","Total Data: 206","Number of Retentions: Proto Malayo-Polynesian:36","Number of Loans: 5","Austronesian:Malayo-Polynesian:Philippine:North Mangyan",NA,"http://www.ethnologue.com/show_language.asp?code=iry"
"1279","Alangan","alj",NA,NA,NA,"Barbian (1977)","Barbian, Karl-Josef. 1977. The Mangyan languages of Mindoro. Cebu City: University of San Carlos.","Typed By: Andrew Hsiu  Checked By:","Total Data: 248","Number of Retentions: Proto Malayo-Polynesian:37","Number of Loans: 4","Austronesian:Malayo-Polynesian:Philippine:North Mangyan",NA,"http://www.ethnologue.com/show_language.asp?code=alj"
"1280","Tadyawan","tdy",NA,NA,NA,"Barbian (1977)","Barbian, Karl-Josef. 1977. The Mangyan languages of Mindoro. Cebu City: University of San Carlos.","Typed By: Andrew Hsiu  Checked By:","Total Data: 247","Number of Retentions: Proto Malayo-Polynesian:32","Number of Loans: 5","Austronesian:Malayo-Polynesian:Philippine:North Mangyan",NA,"http://www.ethnologue.com/show_language.asp?code=tdy"
"1281","Batangan","bku",NA,NA,NA,"Barbian (1977)","Barbian, Karl-Josef. 1977. The Mangyan languages of Mindoro. Cebu City: University of San Carlos.","Typed By: Andrew Hsiu  Checked By:","Total Data: 256","Number of Retentions: Proto Malayo-Polynesian:28","Number of Loans: 2","Austronesian:Malayo-Polynesian:Philippine:Greater Central Philippine:South Mangyan:Buhid-Taubuid",NA,"http://www.ethnologue.com/show_language.asp?code=bku"
"1282","Buhid","bku",NA,NA,NA,"Barbian (1977)","Barbian, Karl-Josef. 1977. The Mangyan languages of Mindoro. Cebu City: University of San Carlos.","Typed By: Andrew Hsiu  Checked By:","Total Data: 231","Number of Retentions: Proto Malayo-Polynesian:36","Number of Loans: 2","Austronesian:Malayo-Polynesian:Philippine:Greater Central Philippine:South Mangyan:Buhid-Taubuid",NA,"http://www.ethnologue.com/show_language.asp?code=bku"
"1283","Hanunoo","hnn",12.33,121.25,"Philippines","Barbian (1977)","Barbian, Karl-Josef. 1977. The Mangyan languages of Mindoro. Cebu City: University of San Carlos.","Typed By: Andrew Hsiu  Checked By:","Total Data: 228","Number of Retentions: Proto Malayo-Polynesian:87","Number of Loans: 3","Austronesian:Malayo-Polynesian:Philippine:Greater Central Philippine:South Mangyan:Hanunoo","http://wals.info/languoid/lect/wals_code_hnn","http://www.ethnologue.com/show_language.asp?code=hnn"
"1284","Ratagnon","btn",NA,NA,NA,"Barbian (1977)","Barbian, Karl-Josef. 1977. The Mangyan languages of Mindoro. Cebu City: University of San Carlos.","Typed By: Andrew Hsiu  Checked By:","Total Data: 198","Number of Retentions: Proto Malayo-Polynesian:50","Number of Loans: 3","Austronesian:Malayo-Polynesian:Philippine:Greater Central Philippine:Central Philippine:Bisayan:West:Kuyan",NA,"http://www.ethnologue.com/show_language.asp?code=btn"
"1285","Sogodnin (Boracay)","atk",NA,NA,NA,"Pennoyer (1987)","Douglas F. Pennoyer. 1987. Inati: the Hidden Negrito Language of Panay, Philippines. Philippine Journal of Linguistics 18/19. 1-36.
Northern Dialect","Typed By: Andrew Hsiu  Checked By:","Total Data: 92","Number of Retentions: Proto Malayo-Polynesian:46","Number of Loans: 0","Austronesian:Malayo-Polynesian:Philippine:Greater Central Philippine:Central Philippine:Bisayan:Central:Periphera",NA,"http://www.ethnologue.com/show_language.asp?code=atk"
"1286","Sogodnin (Iloilo)","atk",NA,NA,NA,"Pennoyer (1987)","Douglas F. Pennoyer. 1987. Inati: the Hidden Negrito Language of Panay, Philippines. Philippine Journal of Linguistics 18/19. 1-36.
Northern Dialect","Typed By: Andrew Hsiu  Checked By:","Total Data: 96","Number of Retentions: Proto Malayo-Polynesian:36","Number of Loans: 0","Austronesian:Malayo-Polynesian:Philippine:Greater Central Philippine:Central Philippine:Bisayan:Central:Periphera",NA,"http://www.ethnologue.com/show_language.asp?code=atk"
"1287","Malaweg","itv",17.75,121.5,"Philippines","Laurie Reid","","Typed By: Laurie Reid  Checked By:","Total Data: 186","Number of Retentions: Proto Malayo-Polynesian:70","Number of Loans: 1","Austronesian:Malayo-Polynesian:Philippine:Northern Luzon:Northern Cordilleran:Cagayan Valley:Ibanagic","http://wals.info/languoid/lect/wals_code_itw","http://www.ethnologue.com/show_language.asp?code=itv"
"1288","ßatarxobu (Benut)",NA,NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 168","Number of Retentions: Proto Malayo-Polynesian:64","Proto-Oceanic:88Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior",NA,NA
"1289","ßatarxobu (Lipitav)",NA,NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 164","Number of Retentions: Proto Malayo-Polynesian:60","Proto-Oceanic:85Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior",NA,NA
"1290","ßatarxobu (Limsak)",NA,NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 170","Number of Retentions: Proto Malayo-Polynesian:61","Proto-Oceanic:87Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior",NA,NA
"1291","Aulua (Loxse Lanfitfit)","aul",-16.33,167.67,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 173","Number of Retentions: Proto Malayo-Polynesian:55","Proto-Oceanic:74Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_aul","http://www.ethnologue.com/show_language.asp?code=aul"
"1292","Maraxus","mrs",NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 155","Number of Retentions: Proto Malayo-Polynesian:52","Proto-Oceanic:72Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior:Malekula Central",NA,"http://www.ethnologue.com/show_language.asp?code=mrs"
"1293","Venen Taute (Unmet)","nmb",-16.08,167.2,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 170","Number of Retentions: Proto Malayo-Polynesian:56","Proto-Oceanic:73Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior:Malekula Central","http://wals.info/languoid/lect/wals_code_nbb","http://www.ethnologue.com/show_language.asp?code=nmb"
"1294","Vao (Torono)","vao",NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 171","Number of Retentions: Proto Malayo-Polynesian:68","Proto-Oceanic:89Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal",NA,"http://www.ethnologue.com/show_language.asp?code=vao"
"1295","Siviti (Beterbu, Jericho)",NA,NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 179","Number of Retentions: Proto Malayo-Polynesian:65","Proto-Oceanic:92Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior",NA,NA
"1296","Venen Taute (Hamax)","nmb",-16.08,167.2,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 120","Number of Retentions: Proto Malayo-Polynesian:48","Proto-Oceanic:59Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior:Malekula Central","http://wals.info/languoid/lect/wals_code_nbb","http://www.ethnologue.com/show_language.asp?code=nmb"
"1297","Aulua (Netimb)","aul",-16.33,167.67,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 189","Number of Retentions: Proto Malayo-Polynesian:58","Proto-Oceanic:77Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_aul","http://www.ethnologue.com/show_language.asp?code=aul"
"1298","Aitchin (Orap)","upv",-16,167.33,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 175","Number of Retentions: Proto Malayo-Polynesian:61","Proto-Oceanic:86Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_atc","http://www.ethnologue.com/show_language.asp?code=upv"
"1299","Malua Bay (Petarmul 1)","mll",NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 178","Number of Retentions: Proto Malayo-Polynesian:62","Proto-Oceanic:87Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal",NA,"http://www.ethnologue.com/show_language.asp?code=mll"
"1300","Tirax (Bakru)","mme",-16,167.25,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 166","Number of Retentions: Proto Malayo-Polynesian:61","Proto-Oceanic:84Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_mae","http://www.ethnologue.com/show_language.asp?code=mme"
"1301","Burmbar (Fartavo)","vrt",NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 183","Number of Retentions: Proto Malayo-Polynesian:59","Proto-Oceanic:76Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal",NA,"http://www.ethnologue.com/show_language.asp?code=vrt"
"1302","Nisvai (Blacksands)",NA,NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 183","Number of Retentions: Proto Malayo-Polynesian:62","Proto-Oceanic:81Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior",NA,NA
"1303","Uripiv (D'urpif 1)","upv",-16,167.33,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 175","Number of Retentions: Proto Malayo-Polynesian:65","Proto-Oceanic:91Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_atc","http://www.ethnologue.com/show_language.asp?code=upv"
"1304","Alavas-Wowo (Wowo 2)",NA,NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 168","Number of Retentions: Proto Malayo-Polynesian:60","Proto-Oceanic:84Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior",NA,NA
"1305","Tirax (Olamb)","mme",-16,167.25,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 171","Number of Retentions: Proto Malayo-Polynesian:59","Proto-Oceanic:87Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_mae","http://www.ethnologue.com/show_language.asp?code=mme"
"1306","Uripiv (D'urpif 2","upv",-16,167.33,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 177","Number of Retentions: Proto Malayo-Polynesian:65","Proto-Oceanic:90Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_atc","http://www.ethnologue.com/show_language.asp?code=upv"
"1307","Wala (Botku)","upv",-16,167.33,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 175","Number of Retentions: Proto Malayo-Polynesian:69","Proto-Oceanic:89Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_atc","http://www.ethnologue.com/show_language.asp?code=upv"
"1308","Wala (Worprev A)","upv",-16,167.33,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 172","Number of Retentions: Proto Malayo-Polynesian:67","Proto-Oceanic:92Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_atc","http://www.ethnologue.com/show_language.asp?code=upv"
"1309","Venen Taute (Alpalak)","nmb",-16.08,167.2,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 173","Number of Retentions: Proto Malayo-Polynesian:57","Proto-Oceanic:75Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior:Malekula Central","http://wals.info/languoid/lect/wals_code_nbb","http://www.ethnologue.com/show_language.asp?code=nmb"
"1310","Rano (Chinambong)","upv",-16,167.33,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 174","Number of Retentions: Proto Malayo-Polynesian:67","Proto-Oceanic:89Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_atc","http://www.ethnologue.com/show_language.asp?code=upv"
"1311","Rano (Small Island)","upv",-16,167.33,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 172","Number of Retentions: Proto Malayo-Polynesian:66","Proto-Oceanic:90Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_atc","http://www.ethnologue.com/show_language.asp?code=upv"
"1312","Rano (Potora)","upv",-16,167.33,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 173","Number of Retentions: Proto Malayo-Polynesian:68","Proto-Oceanic:89Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_atc","http://www.ethnologue.com/show_language.asp?code=upv"
"1313","Vao (Peteri)","vao",NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 166","Number of Retentions: Proto Malayo-Polynesian:62","Proto-Oceanic:78Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal",NA,"http://www.ethnologue.com/show_language.asp?code=vao"
"1314","Alavas 1",NA,NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 168","Number of Retentions: Proto Malayo-Polynesian:59","Proto-Oceanic:83Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior",NA,NA
"1315","Uripiv (Potnambwe)","upv",-16,167.33,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 166","Number of Retentions: Proto Malayo-Polynesian:63","Proto-Oceanic:87Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_atc","http://www.ethnologue.com/show_language.asp?code=upv"
